user_detail_id,first_name,last_name,gender,age,username,password,email,phone_number,address
27,Clara,Firgantoro,M,45,firgantoro870,_tjmGGC$u3,clara.firgantoro@yahoo.com,+62 (043) 999 0499,"Gg. Ronggowarsito No. 050, Tual, Sulawesi Utara 83493"
28,Waluyo,Wasita,F,38,wasita141,fSOSS3*R(2,waluyo.wasita@hotmail.com,(0200) 063 5180,"Gang Sentot Alibasa No. 986, Kota Administrasi Jakarta Pusat, Jawa Barat 74708"
29,Prabu,Susanti,M,54,susanti203,b_22RPfX&2,prabu.susanti@gmail.com,+62 (714) 527-5172,"Jl. Ronggowarsito No. 814, Cimahi, Nusa Tenggara Timur 87429"
30,Indah,Maryati,F,24,indah628,a&996AAi@o,indah.maryati@gmail.com,0823636461,"Jalan Sentot Alibasa No. 75, Tangerang, Kalimantan Timur 88730"
31,Alambana,Pertiwi,F,54,pertiwi64,o#4_OYFqPa,alambana.pertiwi@hotmail.com,(0439) 230-4215,"Jl. Rungkut Industri No. 1, Pekanbaru, Papua 10374"
32,Zelda,Rahimah,F,23,rahimah134,2yWJxc5t)i,zelda.rahimah@gmail.com,(0761) 538 4784,"Gg. Kendalsari No. 0, Yogyakarta, Kalimantan Selatan 16654"
33,Ikhsan,Laksita,F,44,laksita758,P^(P3tbR$3,ikhsan.laksita@yahoo.com,+62-93-500-4018,"Jl. Kebonjati No. 5, Pangkalpinang, DKI Jakarta 00854"
34,Pranata,Farida,F,27,farida605,@+K(klsQ2@,pranata.farida@hotmail.com,(0387) 377-0576,"Jalan Wonoayu No. 955, Jayapura, Kepulauan Riau 44679"
35,Jamal,Dabukke,F,36,dabukke643,o+1Zo@ft+z,jamal.dabukke@hotmail.com,+62 (15) 092 1909,"Jl. Yos Sudarso No. 1, Tidore Kepulauan, DI Yogyakarta 42521"
36,Pangeran,Hartati,M,46,pangeran983,0MS*Y2la%H,pangeran.hartati@gmail.com,+62 (94) 290 9522,"Gg. Raya Setiabudhi No. 357, Surabaya, KI 54227"
37,Karna,Prabowo,F,50,karna542,p&8SwSfInj,karna.prabowo@yahoo.com,(079) 165 3617,"Gg. Astana Anyar No. 4, Makassar, DKI Jakarta 65568"
38,Jati,Putra,M,65,jati987,)4tNGmLqPw,jati.putra@hotmail.com,0808416776,"Jalan Raya Ujungberung No. 73, Tanjungbalai, DKI Jakarta 25415"
39,Salman,Kurniawan,F,40,kurniawan176,y@A6lDvzBf,salman.kurniawan@yahoo.com,(040) 935 8087,"Jalan Gedebage Selatan No. 838, Tidore Kepulauan, Kalimantan Selatan 87868"
40,Ratih,Adriansyah,F,35,adriansyah649,FEC5Eveso^,ratih.adriansyah@hotmail.com,+62-170-976-6420,"Gg. Sukajadi No. 3, Surakarta, PA 58603"
41,Putri,Suartini,M,52,suartini579,50r3OWew!i,putri.suartini@yahoo.com,+62 (82) 243-4291,"Jl. M.H Thamrin No. 88, Cilegon, Sumatera Selatan 75585"
42,Legawa,Nasyidah,F,23,legawa447,e97^Pj$*i),legawa.nasyidah@gmail.com,+62 (0494) 351 6866,"Jl. Ciumbuleuit No. 228, Jambi, Jawa Timur 89505"
43,Latif,Salahudin,M,42,salahudin130,@(3PlgiOu&,latif.salahudin@hotmail.com,+62 (17) 821 2711,"Gang Cikapayang No. 928, Surabaya, BE 59684"
44,Edison,Suryono,F,20,edison557,%*i%6kTwar,edison.suryono@gmail.com,+62 (21) 267 4795,"Gang Erlangga No. 06, Padang Sidempuan, KI 14645"
45,Gilang,Yuliarti,F,56,yuliarti926,Zr7F%FAmw*,gilang.yuliarti@gmail.com,+62 (002) 431-9612,"Gg. Erlangga No. 56, Tegal, KR 83347"
46,Gantar,Napitupulu,F,64,gantar619,AY8Mm2HN3(,gantar.napitupulu@gmail.com,+62 (24) 397-7960,"Gg. Kapten Muslihat No. 591, Singkawang, Kepulauan Riau 37502"
47,Lembah,Januar,F,20,lembah186,_1tiR5Rqbu,lembah.januar@gmail.com,(0541) 107 1673,"Jl. Rungkut Industri No. 42, Makassar, Kalimantan Tengah 01731"
48,Ella,Hardiansyah,F,64,ella877,$4y9TJp1cr,ella.hardiansyah@yahoo.com,+62 (646) 094-5040,"Gg. Dipatiukur No. 0, Tangerang, Kalimantan Barat 38022"
49,Wani,Marpaung,M,55,marpaung91,W7kX!EIK)y,wani.marpaung@hotmail.com,+62-80-761-5146,"Gang Setiabudhi No. 24, Gorontalo, Kalimantan Barat 72514"
50,Karja,Marpaung,M,49,karja161,^b2XM34^Q$,karja.marpaung@hotmail.com,+62 (035) 600-0020,"Gang KH Amin Jasuta No. 722, Singkawang, Aceh 66194"
51,Bagus,Zulkarnain,M,41,bagus903,_Q#5wGtx95,bagus.zulkarnain@gmail.com,+62-030-691-7119,"Jalan Sukajadi No. 77, Bandung, Aceh 50421"
52,Prabawa,Santoso,M,39,santoso574,*3Z_)hVQ&7,prabawa.santoso@yahoo.com,+62-0689-872-3325,"Gg. K.H. Wahid Hasyim No. 9, Jambi, LA 70695"
53,Karja,Suwarno,M,37,karja964,+aA6yTMd!&,karja.suwarno@hotmail.com,+62 (055) 902-6878,"Gang KH Amin Jasuta No. 64, Kupang, BE 49959"
54,Parman,Suryono,M,26,parman437,u&@$3V^vZ&,parman.suryono@yahoo.com,+62 (846) 548-2333,"Jl. Yos Sudarso No. 2, Ternate, SN 94538"
55,Gading,Budiyanto,M,21,budiyanto639,!@C5Dtaah7,gading.budiyanto@gmail.com,0880169566,"Gg. Medokan Ayu No. 77, Kota Administrasi Jakarta Pusat, Banten 48052"
56,Kayun,Mulyani,M,39,mulyani223,nl9hUQGy_+,kayun.mulyani@hotmail.com,(019) 338 5634,"Gg. Monginsidi No. 24, Tual, SG 31042"
57,Lidya,Jailani,F,48,lidya839,mb2R!W^uw_,lidya.jailani@gmail.com,+62-66-474-3467,"Gg. Pacuan Kuda No. 141, Sukabumi, Nusa Tenggara Barat 69797"
58,Warji,Zulkarnain,M,32,zulkarnain875,F^X07F$z+O,warji.zulkarnain@yahoo.com,+62 (966) 466-1541,"Jalan Laswi No. 995, Lhokseumawe, Maluku 80430"
59,Prayoga,Mangunsong,M,21,prayoga23,#VPOi_9uk3,prayoga.mangunsong@gmail.com,(0210) 405-0272,"Gang Rajawali Timur No. 200, Probolinggo, KU 45957"
60,Dwi,Gunarto,F,43,dwi928,ZAB56PPo^#,dwi.gunarto@yahoo.com,+62-0309-959-9211,"Jl. Pasirkoja No. 559, Magelang, ST 42987"
61,Bakda,Hastuti,M,26,hastuti554,urM9r1Pvx),bakda.hastuti@yahoo.com,+62 (083) 806 7322,"Gg. Stasiun Wonokromo No. 057, Gorontalo, PA 21311"
62,Prayitna,Nugroho,F,46,prayitna990,8s@NjZc_&Z,prayitna.nugroho@hotmail.com,+62 (077) 897 2924,"Jl. Pacuan Kuda No. 8, Tasikmalaya, SB 05012"
63,Warji,Firgantoro,F,60,warji121,74URyA3Z!w,warji.firgantoro@gmail.com,+62 (732) 539-1376,"Gg. Sukajadi No. 43, Gorontalo, Sulawesi Tengah 68630"
64,Kardi,Fujiati,M,65,kardi440,%5(VLP2hg9,kardi.fujiati@gmail.com,(0768) 652 7838,"Jl. Surapati No. 64, Depok, Nusa Tenggara Barat 13091"
65,Drajat,Habibi,F,27,habibi282,(4g0*T*q@9,drajat.habibi@gmail.com,+62 (53) 909 4466,"Jl. Rungkut Industri No. 157, Purwokerto, KS 90743"
66,Kawaya,Hidayat,M,33,kawaya358,jh&XY0zR^3,kawaya.hidayat@gmail.com,+62-0963-098-8979,"Gang Sukajadi No. 116, Prabumulih, JB 86954"
67,Banara,Hardiansyah,F,49,banara973,*w6NtuapTJ,banara.hardiansyah@gmail.com,+62-016-170-9572,"Gang Kebonjati No. 88, Samarinda, YO 70676"
68,Nalar,Winarno,F,40,winarno40,w9O@5ssX)7,nalar.winarno@yahoo.com,+62 (61) 918-2792,"Gg. Cihampelas No. 378, Bengkulu, SR 94554"
69,Harsana,Mangunsong,F,19,harsana247,0T%1AtxI$*,harsana.mangunsong@hotmail.com,+62 (70) 808 5947,"Gg. Setiabudhi No. 9, Tangerang, MA 59564"
70,Dalimin,Megantara,F,34,megantara519,L@IUt2Xq$^,dalimin.megantara@yahoo.com,082 085 4726,"Gang Jakarta No. 9, Blitar, MU 90839"
71,Gina,Napitupulu,F,27,gina71,@*m@+N5dM3,gina.napitupulu@hotmail.com,+62-097-533-9620,"Gang Ciwastra No. 95, Tebingtinggi, NB 32766"
72,Respati,Usada,M,57,usada982,3m77(IZm%m,respati.usada@hotmail.com,(0210) 207-7303,"Jl. Waringin No. 542, Banda Aceh, JK 11143"
73,Wawan,Wulandari,F,35,wawan602,CqLe99P*)+,wawan.wulandari@gmail.com,(083) 774 9236,"Jalan Rajawali Timur No. 972, Makassar, Papua 88540"
74,Diana,Utami,F,26,utami181,m18xYKyb(p,diana.utami@gmail.com,+62 (0531) 193 3207,"Jalan Rumah Sakit No. 57, Palu, DI Yogyakarta 17561"
75,Ismail,Hidayat,F,47,hidayat390,C7_D_0W$%x,ismail.hidayat@hotmail.com,+62 (60) 512-7002,"Jl. KH Amin Jasuta No. 406, Banjar, BA 02936"
76,Harjaya,Hutapea,F,55,hutapea35,lBTHY(jq%4,harjaya.hutapea@yahoo.com,(0416) 777 9293,"Gg. S. Parman No. 47, Kota Administrasi Jakarta Pusat, Sulawesi Tenggara 36666"
77,Prabowo,Halimah,F,50,halimah259,*O3#^YbI^r,prabowo.halimah@yahoo.com,+62-044-192-1516,"Jalan Gegerkalong Hilir No. 6, Madiun, SU 99247"
78,Prabu,Suryono,F,65,prabu193,WYn3Wv+P)z,prabu.suryono@gmail.com,(060) 202-3453,"Jl. Indragiri No. 268, Pematangsiantar, GO 97938"
79,Ajeng,Prakasa,F,40,ajeng427,W%K2eTa%Q(,ajeng.prakasa@gmail.com,(0630) 045 7396,"Gg. Kapten Muslihat No. 9, Sibolga, BB 40587"
80,Aswani,Rahayu,M,61,aswani237,&n!1Ri4D7P,aswani.rahayu@gmail.com,+62-18-814-0173,"Gang Sentot Alibasa No. 3, Bitung, JA 16120"
81,Mutia,Prasetyo,M,64,prasetyo658,n_2uWEgb8B,mutia.prasetyo@hotmail.com,+62 (593) 431-1344,"Jalan Jayawijaya No. 1, Banjarbaru, Bali 61217"
82,Nasim,Halimah,F,18,halimah183,vS+9xFIiTE,nasim.halimah@hotmail.com,(0422) 861-5261,"Jl. Tubagus Ismail No. 1, Ternate, SU 02313"
83,Wisnu,Kuswoyo,M,41,kuswoyo223,@$n6IDzzrF,wisnu.kuswoyo@gmail.com,0802522589,"Jalan Rajawali Timur No. 3, Surakarta, Lampung 49814"
84,Gilang,Permadi,M,55,permadi54,_7@LVWSwBn,gilang.permadi@hotmail.com,+62-387-402-0584,"Jalan Pelajar Pejuang No. 02, Batu, KI 52341"
85,Heru,Sihombing,F,47,heru399,dZ%nL2BtEJ,heru.sihombing@yahoo.com,(0287) 647 0542,"Gang HOS. Cokroaminoto No. 71, Surakarta, YO 91042"
86,Lurhur,Waskita,F,25,lurhur69,+x%Tx9U+I1,lurhur.waskita@hotmail.com,(093) 258-7399,"Jl. Ahmad Yani No. 99, Manado, YO 38871"
87,Eluh,Pertiwi,M,34,eluh63,Veb8KztaG&,eluh.pertiwi@hotmail.com,(0194) 308 0817,"Gg. Cihampelas No. 68, Padang, LA 46259"
88,Salwa,Pradana,M,50,salwa54,@zJ9HKvi%0,salwa.pradana@hotmail.com,+62-20-478-8210,"Gang Pasteur No. 9, Padang, Maluku Utara 18867"
89,Nadia,Thamrin,F,51,nadia403,hT@T$2Xs@9,nadia.thamrin@hotmail.com,(023) 555-4330,"Jl. Abdul Muis No. 87, Pematangsiantar, NB 86720"
90,Cagak,Puspita,F,31,puspita89,_%3&4&Rixj,cagak.puspita@yahoo.com,+62 (35) 802-0671,"Gang Sadang Serang No. 4, Banjarbaru, Kalimantan Timur 18529"
91,Gangsa,Suartini,M,54,suartini454,7fi28PWkq_,gangsa.suartini@hotmail.com,(027) 657-4410,"Gang Jend. Sudirman No. 0, Palopo, SN 77261"
92,Kasusra,Widodo,F,18,kasusra144,r0KP9@gk(_,kasusra.widodo@gmail.com,(078) 127 2679,"Jalan Ciwastra No. 2, Surabaya, Sumatera Selatan 57019"
93,Wadi,Gunawan,F,54,wadi160,!$Kn*Xdan0,wadi.gunawan@yahoo.com,+62-283-394-7831,"Jl. Peta No. 5, Pagaralam, SS 23245"
94,Ida,Fujiati,F,20,fujiati837,)dM(yHJkY8,ida.fujiati@hotmail.com,+62 (57) 585 1399,"Gang H.J Maemunah No. 7, Kota Administrasi Jakarta Utara, SG 39033"
95,Nasim,Prastuti,M,44,prastuti378,%%ARnh#5i2,nasim.prastuti@gmail.com,086 445 5663,"Gg. Merdeka No. 803, Madiun, SR 37054"
96,Edi,Oktaviani,M,38,oktaviani771,$4rEghVEql,edi.oktaviani@hotmail.com,+62 (0373) 234-4322,"Gg. Cihampelas No. 49, Bau-Bau, SB 35475"
97,Jati,Puspasari,F,39,puspasari590,&0uEZOWlbT,jati.puspasari@hotmail.com,+62 (0712) 761 4420,"Gg. Tebet Barat Dalam No. 3, Bima, SB 27740"
98,Rafid,Pranowo,M,29,pranowo253,IhM4jhO(3%,rafid.pranowo@yahoo.com,+62-0986-948-4035,"Gang Cikutra Barat No. 24, Jayapura, Kalimantan Utara 78933"
99,Ikhsan,Situmorang,F,53,situmorang284,%MN8QU2hhh,ikhsan.situmorang@hotmail.com,+62-365-703-4770,"Jl. Indragiri No. 14, Pekalongan, NT 12703"
100,Emil,Jailani,F,31,emil814,^gMmsl#p^6,emil.jailani@yahoo.com,+62 (0306) 049 6227,"Jalan Abdul Muis No. 30, Banjarmasin, Kalimantan Utara 96465"
101,Gandewa,Hariyah,M,40,hariyah148,v@(J9UUo+),gandewa.hariyah@hotmail.com,+62 (0415) 685-9098,"Gang Rajawali Barat No. 3, Serang, Kepulauan Bangka Belitung 59942"
102,Harja,Uwais,F,65,harja194,%5RVvaVR4J,harja.uwais@gmail.com,+62 (052) 422-9448,"Gg. Pelajar Pejuang No. 40, Pagaralam, Kalimantan Utara 53095"
103,Halima,Suryatmi,M,40,halima834,)z#fHNt(0P,halima.suryatmi@yahoo.com,(012) 236 1638,"Gang Merdeka No. 1, Yogyakarta, Sulawesi Utara 68614"
104,Praba,Hastuti,F,64,hastuti534,PH*9XdN!C0,praba.hastuti@yahoo.com,+62 (0094) 450-3508,"Gang Pelajar Pejuang No. 6, Sungai Penuh, BA 37503"
105,Purwadi,Firgantoro,M,18,purwadi810,+hCt!4Ra%7,purwadi.firgantoro@hotmail.com,0894551480,"Gg. Dipatiukur No. 1, Pariaman, MA 00386"
106,Fitriani,Novitasari,M,63,fitriani502,D2&$7*HyfP,fitriani.novitasari@gmail.com,+62-0015-021-9668,"Gang Kutisari Selatan No. 366, Pematangsiantar, BB 67564"
107,Zaenab,Waskita,M,29,waskita543,)_9CPeuH!l,zaenab.waskita@yahoo.com,+62 (078) 300-3903,"Gg. Jakarta No. 969, Kupang, NB 94894"
108,Hilda,Haryanti,F,56,haryanti115,5DCBgAqu_x,hilda.haryanti@yahoo.com,+62 (08) 517-3857,"Jalan KH Amin Jasuta No. 00, Padangpanjang, PA 32456"
109,Amalia,Sihombing,M,63,sihombing562,(Bz83jFaIv,amalia.sihombing@yahoo.com,+62 (749) 500-6477,"Jalan Gedebage Selatan No. 896, Bandar Lampung, SS 52473"
110,Kamidin,Pudjiastuti,F,24,kamidin324,P3PnTQyn(n,kamidin.pudjiastuti@yahoo.com,+62 (041) 491-3138,"Jl. Stasiun Wonokromo No. 832, Jayapura, JI 60852"
111,Yessi,Kurniawan,M,49,yessi489,37kHuLyj!3,yessi.kurniawan@yahoo.com,+62 (52) 560 0156,"Gg. Wonoayu No. 8, Medan, Maluku 16073"
112,Wani,Rajasa,M,39,wani329,R3CJhQlK@&,wani.rajasa@gmail.com,+62 (0181) 252 3004,"Jalan Sukajadi No. 3, Bima, Jambi 48688"
113,Lurhur,Laksita,F,18,laksita664,R9L%f3mn$@,lurhur.laksita@gmail.com,+62 (885) 254-5164,"Gang W.R. Supratman No. 72, Mojokerto, MA 06503"
114,Ghani,Budiyanto,F,55,budiyanto262,*f#3TKwWIg,ghani.budiyanto@hotmail.com,(012) 727 3189,"Jalan Otto Iskandardinata No. 929, Ambon, KS 32495"
115,Niyaga,Purwanti,F,23,purwanti529,jl@)5YwrZN,niyaga.purwanti@hotmail.com,(026) 528 5296,"Jalan Peta No. 55, Padang, ST 97572"
116,Uli,Agustina,M,61,uli400,6+C55_Ckg#,uli.agustina@yahoo.com,+62 (027) 557-0252,"Jl. Monginsidi No. 2, Bogor, Kalimantan Selatan 46000"
117,Endra,Suryono,M,21,endra951,Hl#(cUnk&5,endra.suryono@hotmail.com,+62-0032-586-3271,"Gang Setiabudhi No. 0, Bima, PB 00136"
118,Cengkir,Ardianto,F,20,cengkir54,(bTCSjCla6,cengkir.ardianto@hotmail.com,+62 (003) 870 6161,"Gg. HOS. Cokroaminoto No. 185, Bau-Bau, DI Yogyakarta 05247"
119,Caket,Melani,F,50,melani844,O9$5Yd2A$m,caket.melani@yahoo.com,+62-08-425-0593,"Jalan M.H Thamrin No. 96, Sawahlunto, SN 73766"
120,Juli,Latupono,F,33,juli63,k59GOZg$+c,juli.latupono@yahoo.com,084 767 1471,"Gang W.R. Supratman No. 716, Cimahi, NB 21981"
121,Najib,Budiman,M,51,budiman69,+9R)^^(x71,najib.budiman@gmail.com,+62 (272) 802-5876,"Gang KH Amin Jasuta No. 167, Singkawang, Sulawesi Tenggara 41683"
122,Eluh,Hidayanto,F,30,hidayanto638,)r%164FtNA,eluh.hidayanto@hotmail.com,086 265 8070,"Gg. Peta No. 4, Mojokerto, Kalimantan Utara 71331"
123,Jatmiko,Mahendra,M,41,jatmiko861,*7a#cXOcWZ,jatmiko.mahendra@gmail.com,082 593 8894,"Gg. Rungkut Industri No. 83, Jayapura, RI 64569"
124,Pardi,Kuswandari,M,40,pardi318,Om5fBfP_#@,pardi.kuswandari@hotmail.com,+62 (786) 867-2046,"Gang Ahmad Yani No. 7, Sawahlunto, Jawa Timur 89082"
125,Elon,Wijaya,F,28,elon855,h#S3IqW*Ii,elon.wijaya@yahoo.com,(053) 027 7648,"Jl. Wonoayu No. 807, Pekalongan, PA 62455"
126,Latika,Salahudin,F,61,latika122,%1q9PEnFhM,latika.salahudin@hotmail.com,+62 (457) 268-7890,"Jl. Cihampelas No. 8, Lhokseumawe, RI 90382"
127,Anastasia,Wibowo,F,38,wibowo704,#hz4CAXrEb,anastasia.wibowo@yahoo.com,+62 (021) 262-7122,"Gang Jamika No. 410, Lhokseumawe, Nusa Tenggara Barat 92210"
128,Halima,Sihombing,M,54,sihombing539,!FndT%vOQ3,halima.sihombing@hotmail.com,(0291) 123 7947,"Jl. Gedebage Selatan No. 5, Sawahlunto, ST 19242"
129,Karsana,Zulkarnain,F,48,zulkarnain50,xM9UF_vzo+,karsana.zulkarnain@hotmail.com,+62 (0475) 800-9629,"Gang Rajawali Barat No. 41, Bekasi, DI Yogyakarta 40384"
130,Sarah,Hutasoit,M,43,sarah141,@x8W@6Vu_9,sarah.hutasoit@gmail.com,+62 (067) 364 8122,"Gang Pelajar Pejuang No. 3, Kota Administrasi Jakarta Selatan, Papua 51476"
131,Pardi,Mahendra,F,35,mahendra961,b))1g6Agzb,pardi.mahendra@hotmail.com,+62-032-256-8889,"Jl. Antapani Lama No. 068, Pontianak, Sulawesi Selatan 16110"
132,Adiarja,Oktaviani,M,30,oktaviani190,$2P1RE@tp2,adiarja.oktaviani@gmail.com,+62 (0282) 963 1390,"Jl. Kiaracondong No. 1, Sukabumi, Sulawesi Tengah 98706"
133,Latika,Nainggolan,F,49,latika982,&RAGjtwPx8,latika.nainggolan@yahoo.com,+62 (0771) 901 3909,"Gg. Dr. Djunjunan No. 48, Pangkalpinang, KU 40767"
134,Jagapati,Waluyo,F,26,waluyo991,9iBLOSa^@Z,jagapati.waluyo@yahoo.com,+62 (0610) 351-2090,"Jl. Gegerkalong Hilir No. 9, Yogyakarta, KI 83951"
135,Darmana,Pratama,M,27,darmana801,%IQz8N4zx),darmana.pratama@yahoo.com,+62 (041) 898-4450,"Gang Pasirkoja No. 938, Manado, MA 39729"
136,Ana,Zulaika,M,59,zulaika381,UxNADnKf_0,ana.zulaika@gmail.com,+62 (0673) 348 4459,"Jalan Sukajadi No. 98, Kota Administrasi Jakarta Timur, KI 88102"
137,Warsa,Lailasari,M,30,lailasari485,ja19VR1l!J,warsa.lailasari@hotmail.com,(061) 270 7967,"Gang Cempaka No. 972, Salatiga, Lampung 51622"
138,Yahya,Safitri,M,55,yahya432,HgXj5VZkb(,yahya.safitri@gmail.com,(066) 275-3321,"Gg. Pasirkoja No. 9, Bandar Lampung, Nusa Tenggara Barat 65756"
139,Lulut,Andriani,M,44,andriani420,6*1RbsIW(#,lulut.andriani@yahoo.com,+62 (098) 443-8932,"Gang Ronggowarsito No. 0, Manado, KS 77206"
140,Tasdik,Habibi,F,56,habibi940,SN1X7Cm4!1,tasdik.habibi@hotmail.com,(0281) 736 3144,"Jl. Dr. Djunjunan No. 0, Ambon, LA 25421"
141,Pranawa,Maryati,M,29,pranawa102,$bS!5Cks2D,pranawa.maryati@yahoo.com,+62 (0144) 449 3230,"Gg. Ciwastra No. 9, Bitung, KS 63699"
142,Tasnim,Nasyidah,M,42,tasnim112,Au8sCpHyA@,tasnim.nasyidah@yahoo.com,0800486111,"Gg. Peta No. 4, Parepare, Sulawesi Tenggara 52829"
143,Sakura,Yuliarti,F,47,sakura970,^2RCJrjp!Z,sakura.yuliarti@hotmail.com,+62 (550) 868-2683,"Gg. Jakarta No. 75, Samarinda, JT 31440"
144,Atma,Lestari,M,57,lestari214,$1%HqO)d)P,atma.lestari@gmail.com,(0451) 281-3121,"Gg. K.H. Wahid Hasyim No. 5, Kota Administrasi Jakarta Timur, BT 53319"
145,Kamila,Halimah,F,40,kamila791,&zNWLzNqr6,kamila.halimah@hotmail.com,+62 (160) 409-5990,"Gang W.R. Supratman No. 785, Prabumulih, KR 02554"
146,Legawa,Hidayanto,M,62,legawa722,ptz4_Xvqi#,legawa.hidayanto@hotmail.com,(0563) 583 3969,"Gg. Sukajadi No. 8, Bandung, MU 34237"
147,Cawisadi,Kusmawati,F,61,cawisadi89,(zTNXpy*U2,cawisadi.kusmawati@gmail.com,(0707) 226-1240,"Jl. Surapati No. 264, Sawahlunto, Aceh 05363"
148,Omar,Mandasari,F,38,omar513,&VJeNzlFg9,omar.mandasari@gmail.com,+62 (164) 639 9257,"Gang Yos Sudarso No. 59, Magelang, PA 80233"
149,Harjasa,Handayani,M,21,harjasa492,yJxOh2No$%,harjasa.handayani@hotmail.com,(0421) 071 4318,"Gang Wonoayu No. 53, Pematangsiantar, Papua 82105"
